openal 1.24.3-2
opencore-amr 0.1.6-2
opengl-man-pages 20240713-2
openjpeg2 2.5.4-1
openssh 10.2p1-2
openssl 3.6.0-1
opus 1.5.2-1
orc 0.4.41-1
otf-hermit 2.0-3
p11-kit 0.25.10-2
pacman 7.0.0.r6.gc685ae6-6
pacman-contrib 1.13.0-1
pacman-mirrorlist 20251021-1
pahole 1:1.31-1
pam 1.7.1-1
pambase 20250719-1
pango 1:1.57.0-2
parted 3.6-2
patch 2.8-1
pciutils 3.14.0-1
pcre2 10.47-1
peaclock 0.4.3-2
peaclock-debug 0.4.3-2
perl 5.42.0-1
perl-error 0.17030-2
perl-mailtools 2.22-2
perl-timedate 2.33-8
pinentry 1.3.2-2
pipewire 1:1.4.9-2
pipewire-alsa 1:1.4.9-2
pipewire-audio 1:1.4.9-2
pipewire-jack 1:1.4.9-2
pipewire-pulse 1:1.4.9-2
pipewire-session-manager 1:1.4.9-2
pixman 0.46.4-1
pkgconf 2.5.1-1
polkit 126-2
poppler 25.11.0-1
poppler-glib 25.11.0-1
popt 1.19-2
portaudio 1:19.7.0-3
procps-ng 4.0.5-3
psmisc 23.7-1
python 3.13.7-1
python-acme 5.1.0-1
python-argcomplete 3.6.2-1
python-cffi 2.0.0-1
python-charset-normalizer 3.4.4-1
python-click 8.2.1-1
python-configargparse 1.5.5-3
python-configobj 5.0.9-5
python-cryptography 46.0.3-1
python-distro 1.9.0-3
python-i3ipc 2.2.1-8
python-idna 3.11-1
python-josepy 2.2.0-1
python-packaging 25.0-1
python-parsedatetime 2.6-10
python-pipx 1.8.0-1
python-platformdirs 4.5.0-1
python-pycparser 2.23-1
python-pyopenssl 25.3.0-1
python-pyparsing 3.2.5-1
python-pyrfc3339 1.1-14
python-pytz 2025.2-1
python-requests 2.32.5-1
python-six 1.17.0-1
python-urllib3 2.5.0-2
python-userpath 1.9.2-3
python-xlib 0.33-4
qrcodegencpp-cmake 1.8.0-4
qt6-base 6.10.1-1
qt6-svg 6.10.1-1
qt6-translations 6.10.1-1
rav1e 0.8.1-2
readline 8.3.001-1
rhash 1.4.6-1
ripgrep 15.1.0-1
rnnoise 1:0.2-1
rofi 2.0.0-1
rtkit 0.13-3
rubberband 4.0.0-1
sbc 2.1-1
scrot 1.12.1-1
sdl12-compat 1.2.68-2
sdl2-compat 2.32.58-1
sdl3 3.2.26-1
sdl_net 1.2.8-6
sdl_sound 1.0.3-13
sed 4.9-3
semver 7.7.3-1
serd 0.32.6-1
shaderc 2025.4-2
shadow 4.18.0-1
shared-mime-info 2.4-2
simde 0.8.2-1
simdjson 1:4.2.2-1
snappy 1.2.2-2
sndio 1.10.0-1
sord 0.16.20-1
spdlog 1.16.0-1
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.328.1-1
sqlite 3.51.1-1
sratom 0.6.20-1
srt 1.5.4-1
startup-notification 0.12-9
steam 1.0.0.85-1
strace 6.17-1
sudo 1.9.17.p2-1
svt-av1 3.1.2-1
systemd 258.2-2
systemd-libs 258.2-2
systemd-sysvcompat 258.2-2
tar 1.35-2
tdb 1.4.14-1
texinfo 7.2-1
tinysparql 3.10.1-2
tmux 3.6-1
tpm2-tss 4.1.3-1
tree-sitter 0.25.10-1
tree-sitter-bash 0.25.0-1
tree-sitter-c 0.24.1-1
tree-sitter-cli 0.25.10-1
tree-sitter-lua 0.4.0-1
tree-sitter-markdown 0.5.1-1
tree-sitter-python 0.25.0-1
tree-sitter-query 0.7.0-1
